model,mean_test_accuracy,std_test_accuracy,min_test_accuracy,max_test_accuracy,parameter_count,paper_mean,paper_std,absolute_mean_error,ours_mean_std,paper_mean_std
CopresheafSAGE,0.7263157894736842,0.04780500559101305,0.6842105263157895,0.7894736842105263,4811,0.732,0.029,0.005684210526315736,0.726 ± 0.048,0.732 ± 0.029
GraphSAGE,0.7157894736842105,0.06000923289995459,0.6578947368421053,0.8157894736842105,2626,0.689,0.022,0.026789473684210585,0.716 ± 0.060,0.689 ± 0.022
